c_system_abbr,facility,n,best_guesses,c_facility_name
TN,TROUSDALE TURNER CORRECTIONAL CENTER (TTCC),5,"SOUTH CENTRAL CORRECTIONAL CENTER, HARDEMAN COUNTY CORRECTIONAL CENTER-CCA",NA
UT,CENTRAL UTAH CORRECTIONAL FACILITY (GUNNISON PRISON),5,FREMONT CORRECTIONAL CENTER,NA
WA,STAFFORD CREEK CORRECTIONAL CENTER,5,STAFFORD CREEK CORRECTIONAL CENTER,STAFFORD CREEK CORRECTIONAL CENTER
NA,FWRC,5,NA,NA
NA,JAMES T. VAUGHN CORRECTIONAL CENTER,5,NA,NA
AZ,ASP-FLORENCE WEST,4,ASP-FLORENCE WEST,ASP-FLORENCE WEST
AZ,"ASPC-FLORENCE, CENTRAL UNIT",4,ASPC-FLORENCE PICACHO UNIT,NA
AZ,ASPC-SAFFORD,4,ASPC-SAFFORD,ASPC-SAFFORD
BOP,BEAUMONT LOW FCI,4,NA,NA
BOP,EDGEFIELD FCI,4,NA,NA
BOP,HAZELTON FCI,4,NA,NA
CA,CA CORRECTIONAL CENTER,4,CALIFORNIA CORRECTIONAL CENTER,CALIFORNIA CORRECTIONAL CENTER
CA,DEUEL VOCATIONAL INSTITUTION,4,DEUEL VOCATIONAL INSTITUTION,DEUEL VOCATIONAL INSTITUTION
CA,PELICAN BAY STATE PRISON,4,PELICAN BAY STATE PRISON,PELICAN BAY STATE PRISON
CA,PLEASANT VALLEY STATE PRISON,4,PLEASANT VALLEY STATE PRISON,PLEASANT VALLEY STATE PRISON
FL,COLUMBIA CI,4,COLUMBIA ANNEX,NA
FL,MARION CI,4,MARIANNA FCI,NA
FL,SUMTER CI,4,SUMTER B.T.U.,NA
GA,AUTRY STATE PRISON,4,AUTRY STATE PRISON,AUTRY STATE PRISON
GA,HANCOCK STATE PRISON,4,HANCOCK STATE PRISON,HANCOCK STATE PRISON
GA,WARE STATE PRISON,4,WARE STATE PRISON,WARE STATE PRISON
HI,SAGUARO CORRECTIONAL CENTER (AZ),4,"HALAWA CORRECTIONAL FACILITY, OAHU COMMUNITY CORRECTIONAL CENTER, WAIAWA CORRECTIONAL FACILITY",NA
IA,CLARINDA CORRECTIONAL FACILITY,4,CLARINDA CORRECTIONAL FACILITY,CLARINDA CORRECTIONAL FACILITY
IA,CORALVILLE,4,LUSTER HEIGHTS,NA
IA,FORT DODGE CORRECTIONAL FACILITY,4,FORT DODGE CORRECTIONAL FACILITY,FORT DODGE CORRECTIONAL FACILITY
IA,FORT MADISON,4,LUSTER HEIGHTS,NA
IA,IOWA MEDICAL CLASSIFICATION CENTER CORRECTIONAL FACILITY,4,IOWA MEDICAL & CLASSIFICATION CENTER,NA
ICE,OTAY MESA DETENTION CENTER (OMDC),4,NA,NA
ID,IDAHO CORRECTIONAL CENTER,4,IDAHO CORRECTIONAL CENTER,IDAHO CORRECTIONAL CENTER
LA,LOUISIANA STATE PENITENTIARY,4,LOUISIANA STATE PENITENTIARY,LOUISIANA STATE PENITENTIARY
MS,MISSISSIPPI STATE PENITENTIARY,4,MISSISSIPPI STATE PENITENTIARY,MISSISSIPPI STATE PENITENTIARY
NC,LANESBORO CORRECTIONAL INSTITUTION,4,LANESBORO CORRECTIONAL INSTITUTION,LANESBORO CORRECTIONAL INSTITUTION
NC,NORTH COROLINA CORRECTIONAL INST FOR WOMEN,4,NORTH COROLINA CORRECTIONAL INST FOR WOMEN,NORTH COROLINA CORRECTIONAL INST FOR WOMEN
NC,PASQUOTANK CORRECTIONAL INSTITUTION,4,PASQUOTANK CORRECTIONAL INSTITUTION,PASQUOTANK CORRECTIONAL INSTITUTION
NC,RUTHERFORD CORRECTIONAL CENTER,4,RUTHERFORD CORRECTIONAL CENTER,RUTHERFORD CORRECTIONAL CENTER
NC,TABOR CORRECTIONAL INSTITUTION,4,TABOR CORRECTIONAL INSTITUTION,TABOR CORRECTIONAL INSTITUTION
PA,​FAYETTE,4,SCI FAYETTE,NA
PA,​FOREST,4,SCI FOREST,NA
PA,​MAHANOY,4,SCI MAHANOY,NA
PA,​PINE GROVE,4,SCI PINE GROVE,NA
SC,KERSHAW CORRECTIONAL INSTITUTION,4,KERSHAW CORRECTIONAL INSTITUTION,KERSHAW CORRECTIONAL INSTITUTION
SC,MCCORMICK CORRECTIONAL INSTITUTION,4,MCCORMICK CORRECTIONAL INSTITUTION,MCCORMICK CORRECTIONAL INSTITUTION
TN,BRUSHY MOUNTAIN CORRECTIONAL COMPLEX (BMCX) - CLOSED,4,NORTHEAST CORRECTIONAL COMPLEX - ANNEX,NA
NA,GADSDEN CF,4,NA,NA
AK,HILAND MOUNTAIN CORRECTIONAL CENTER,3,HILAND MOUNTAIN CORRECTIONAL CENTER,HILAND MOUNTAIN CORRECTIONAL CENTER
AL,ELMORE CORRECTIONAL FACILITY,3,ELMORE CORRECTIONAL FACILITY,ELMORE CORRECTIONAL FACILITY
AR,VARNER UNIT,3,VARNER UNIT,VARNER UNIT
AZ,ASP-RED ROCK,3,"ASPC-FLORENCE, ASPC-SAFFORD, ASPC-TUCSON, ASPC-WINSLOW, ASPC-EYMAN, SAFFORD FCI",NA
AZ,"ASPC-TUCSON, RINCON UNIT",3,ASPC-WINSLOW APACHE UNIT,NA
AZ,KINGMAN CORRECTIONAL AND REHABILITATION FACILITY,3,MARANA COMMUNITY CORRECTIONAL TREATMENT FACILITY,NA
AZ,NA,3,ASPC-YUMA,NA
BOP,ATLANTA USP,3,NA,NA
BOP,BIG SPRING FCI,3,NA,NA
BOP,FLORENCE FCI,3,NA,NA
BOP,FORREST CITY MEDIUM FCI,3,NA,NA
BOP,FORT DIX FCI,3,NA,NA
BOP,JESUP FCI,3,NA,NA
BOP,MEMPHIS FCI,3,NA,NA
BOP,MILAN FCI,3,NA,NA
BOP,VICTORVILLE MEDIUM I FCI,3,NA,NA
BOP,VICTORVILLE MEDIUM II FCI,3,NA,NA
BOP,YAZOO CITY LOW FCI,3,NA,NA
CA,CA REHABILITATION CENTER,3,CALIFORNIA REHABILITATION CENTER,NA
CA,"CA STATE PRISON, SOLANO",3,"CALIFORNIA STATE PRISON, SOLANO","CALIFORNIA STATE PRISON, SOLANO"
DE,DELORES J. BAYLOR WOMAN'S CORRECTIONAL INSTITUTION,3,DELORES J BAYLOR WOMENS CORRECTIONAL INSTITUTION,DELORES J BAYLOR WOMENS CORRECTIONAL INSTITUTION
FL,CROSS CITY CI,3,MIAMI FCI,NA
FL,FRANKLIN CI,3,MIAMI FCI,NA
FL,HAMILTON CI,3,HAMILTON ANNEX,NA
FL,LIBERTY CI,3,MIAMI FCI,NA
FL,LOWELL CI,3,LOWELL ANNEX,NA
FL,NWFRC,3,MIAMI FCI,NA
FL,OKALOOSA CI,3,"OKALOOSA WORK CAMP, MIAMI FCI, MARIANNA FCI",NA
FL,TAYLOR CI,3,TAYLOR ANNEX,NA
FL,TOMOKA CI,3,MIAMI FCI,NA
FL,WALTON CI,3,"MIAMI FCI, MARIANNA FCI",NA
GA,JOHNSON STATE PRISON,3,JOHNSON STATE PRISON,JOHNSON STATE PRISON
IA,THE CLARINDA CORRECTIONAL FACILITY,3,CLARINDA CORRECTIONAL FACILITY,NA
IA,THE NEWTON CORRECTIONAL FACILITY,3,NEWTON CORRECTIONAL FACILITY,NA
ID,POCATELLO WOMEN'S CORR CENTER,3,POCATELLO WOMEN'S CORR CENTER,POCATELLO WOMEN'S CORR CENTER
KS,EL DORADO CORRECTIONAL FACILITY,3,EL DORADO CORRECTIONAL FACILITY,EL DORADO CORRECTIONAL FACILITY
KS,ELLSWORTH CORRECTIONAL FACILITY,3,ELLSWORTH CORRECTIONAL FACILITY,ELLSWORTH CORRECTIONAL FACILITY
MO,EASTERN RDCC (ERDCC),3,"SPRINGFIELD USMCFP, ALPHA HOUSE, MERS/MO GOODWILL",NA
MT,CROSSROADS CORRECTIONAL CENTER,3,CROSSROADS CORRECTIONAL CENTER - CCA,NA
NC,ALBEMARLE CORRECTIONAL INSTITUTION,3,ALBEMARLE CORRECTIONAL INSTITUTION,ALBEMARLE CORRECTIONAL INSTITUTION
NC,FRANKLIN CORRECTIONAL CENTER,3,FRANKLIN CORRECTIONAL CENTER,FRANKLIN CORRECTIONAL CENTER
NC,GREENE CORRECTIONAL CENTER,3,GREENE CORRECTIONAL CENTER,GREENE CORRECTIONAL CENTER
NC,PAMLICO CORRECTIONAL FACILITY,3,PAMLICO CORRECTIONAL FACILITY,PAMLICO CORRECTIONAL FACILITY
NE,NSP,3,WORK ETHIC CAMP - MCCOOK,NA
OK,OKLAHOMA STATE PENITENTIARY,3,OKLAHOMA STATE PENITENTIARY,OKLAHOMA STATE PENITENTIARY
OR,DEER RIDGE CORRECTIONAL INSTITUTION,3,"SNAKE RIVER CORRECTIONAL INSTITUTION, TWO RIVERS CORRECTIONAL INSTITUTION, DEER RIDGE CORRECTIONAL MINIMUM",NA
PA,​CHESTER,3,SCI CHESTER,NA
PA,​MERCER,3,SCI MERCER,NA
SC,RIDGELAND CORRECTIONAL INSTITUTION,3,RIDGELAND CORRECTIONAL INSTITUTION,RIDGELAND CORRECTIONAL INSTITUTION
SC,TYGER RIVER CORRECTIONAL INSTITUTION,3,TYGER RIVER CORRECTIONAL INSTITUTION,TYGER RIVER CORRECTIONAL INSTITUTION
TN,TENNESSEE CORRECTIONS ACADEMY (TNCA),3,WHITEVILLE CORRECTIONAL FACILITY - CCA,NA
TN,WAYNE COUNTY BOOT CAMP (WCBC),3,"TENNESSEE PRISON FOR WOMEN, MORGAN COUNTY CORRECTIONAL COMPLEX, THE NEXT DOOR, MEMPHIS CAMP",NA
VA,WALLENS RIDGE STATE PRISON,3,WALLENS RIDGE STATE PRISON,WALLENS RIDGE STATE PRISON
VT,NORTHERN STATE CORRECTIONAL FACILITY,3,NORTHERN STATE CORRECTIONAL FACILITY,NORTHERN STATE CORRECTIONAL FACILITY
WA,WASHINGTON STATE PENITENTIARY,3,WASHINGTON STATE PENITENTIARY,WASHINGTON STATE PENITENTIARY
NA,HOWARD R. YOUNG CORRECTIONAL INSTITUTION,3,NA,NA
NA,LANCASTER CI,3,NA,NA
NA,LAWTEY CI,3,NA,NA
AK,LEMON CREEK CORRECTIONAL CENTER,2,LEMON CREEK CORRECTIONAL CENTER,LEMON CREEK CORRECTIONAL CENTER
AK,PALMER CORRECTIONAL CENTER,2,PALMER CORRECTIONAL CENTER,PALMER CORRECTIONAL CENTER
AR,GRIMES UNIT,2,GRIMES UNIT,GRIMES UNIT
AR,MAXIMUM SECURITY UNIT,2,MAXIMUM SECURITY UNIT,MAXIMUM SECURITY UNIT
AR,VARNER SUPERMAX UNIT,2,VARNER SUPERMAX UNIT,VARNER SUPERMAX UNIT
AZ,ASP-PHOENIX WEST,2,ASP-PHOENIX WEST,ASP-PHOENIX WEST
AZ,CENTRAL ARIZONA CORRECTIONAL AND REHABILITATION FACILITY,2,ASP - CENTRAL ARIZONA CORRECTIONAL FACILITY,NA
AZ,CENTRAL ARIZONA CORRECTIONS FACILITY,2,ASP - CENTRAL ARIZONA CORRECTIONAL FACILITY,NA
BOP,ALDERSON FPC,2,NA,NA
BOP,BENNETTSVILLE FCI,2,NA,NA
BOP,COLEMAN II USP,2,NA,NA
BOP,ENGLEWOOD FCI,2,NA,NA
BOP,FAIRTON FCI,2,NA,NA
BOP,FLORENCE - HIGH USP,2,NA,NA
BOP,LA TUNA FCI,2,NA,NA
BOP,MARION USP,2,NA,NA
BOP,MCCREARY USP,2,NA,NA
BOP,MENDOTA FCI,2,NA,NA
BOP,MIAMI FDC,2,NA,NA
BOP,OAKDALE II FCI,2,NA,NA
BOP,OKLAHOMA CITY FTC,2,NA,NA
BOP,PETERSBURG MEDIUM FCI,2,NA,NA
BOP,PHOENIX FCI,2,NA,NA
BOP,ROCHESTER FMC,2,NA,NA
BOP,SANDSTONE FCI,2,NA,NA
BOP,SHERIDAN FCI,2,NA,NA
BOP,TALLAHASSEE FCI,2,NA,NA
BOP,TEXARKANA FCI,2,NA,NA
BOP,YAZOO CITY USP,2,NA,NA
CA,CENTRAL CA WOMEN'S FACILITY,2,CENTRAL CALIFORNIA WOMEN'S FACILITY,CENTRAL CALIFORNIA WOMEN'S FACILITY
CO,COLORADO STATE PENITENTIARY,2,COLORADO STATE PENITENTIARY,COLORADO STATE PENITENTIARY
CO,FREMONT CF,2,FLORENCE FCI,NA
CT,ENFIELD CI,2,DANBURY FCI,NA
CT,GARNER CI,2,"DANBURY FCI, WARNER HOUSE",NA
CT,WILLARD-CYBULSKI CI,2,"DANBURY FCI, SILLIMAN HOUSE",NA
CT,YORK CI,2,RSD,NA
FL,BAY CF,2,MIAMI FCI,NA
FL,BLACKWATER CF,2,MARIANNA FCI,NA
FL,COLUMBIA ANNEX,2,COLUMBIA ANNEX,COLUMBIA ANNEX
FL,FWRC,2,MIAMI FCI,NA
FL,HARDEE CI,2,"MIAMI FCI, MARIANNA FCI",NA
FL,HOLMES CI,2,MIAMI FCI,NA
FL,MADISON CI,2,MARIANNA FCI,NA
FL,MARTIN CI,2,"MIAMI FCI, MARIANNA FCI",NA
FL,SOUTH BAY CF,2,"DESOTO ANNEX, SUMTER B.T.U., SHISA EAST",NA
GA,AUGUSTA STATE MEDICAL PRISON,2,AUGUSTA STATE MEDICAL PRISON,AUGUSTA STATE MEDICAL PRISON
GA,HAYS STATE PRISON,2,HAYS STATE PRISON,HAYS STATE PRISON
GA,LEE STATE PRISON,2,LEE STATE PRISON,LEE STATE PRISON
GA,PHILLIPS STATE PRISON,2,PHILLIPS STATE PRISON,PHILLIPS STATE PRISON
GA,SMITH STATE PRISON,2,SMITH STATE PRISON,SMITH STATE PRISON
GA,WILCOX STATE PRISON,2,WILCOX STATE PRISON,WILCOX STATE PRISON
IA,IOWA CORRECTIONAL INSTITUTION FOR WOMEN,2,IOWA CORRECTIONAL INSTITUTE FOR WOMEN,NA
IA,IOWA MEDICAL CLASSIFICATION CENTER,2,IOWA MEDICAL & CLASSIFICATION CENTER,NA
IA,THE IOWA MEDICAL AND CLASSIFICATION CENTER IN CORALVILLE,2,IOWA MEDICAL & CLASSIFICATION CENTER,NA
ICE,FLORENCE SERVICE PROCESSING CENTER (FSPC),2,NA,NA
ICE,STEWART DETENTION CENTER (SDC),2,NA,NA
ID,SOUTH BOISE WOMEN'S CORRECTIONAL CENTER,2,SOUTH BOISE WOMEN'S CORRECTIONAL CENTER,SOUTH BOISE WOMEN'S CORRECTIONAL CENTER
KS,LARNED CORRECT MENTAL HEALTH FACILITY,2,LARNED CORRECT MENTAL HEALTH FACILITY,LARNED CORRECT MENTAL HEALTH FACILITY
KS,WINFIELD CORRECTIONAL FACILITY,2,WINFIELD CORRECTIONAL FACILITY,WINFIELD CORRECTIONAL FACILITY
MN,MINNESOTA CORRECTIONAL FACILITY - RUSH CITY,2,MINNESOTA CORRECTIONAL FACILITY - RUSH CITY,MINNESOTA CORRECTIONAL FACILITY - RUSH CITY
NC,ANSON CORRECTIONAL INSTITUTION,2,"MARION CORRECTIONAL INSTITUTION, SAMPSON CORRECTIONAL INSTITUTION",NA
NC,CALEDONIA CORRECTIONAL INSTITUTION,2,CALEDONIA CORRECTIONAL INSTITUTION,CALEDONIA CORRECTIONAL INSTITUTION
NC,COLUMBUS CORRECTIONAL CENTER,2,COLUMBUS CORRECTIONAL CENTER,COLUMBUS CORRECTIONAL CENTER
NC,LUMBERTON CORRECTIONAL INSTITUTION,2,LUMBERTON CORRECTIONAL INSTITUTION,LUMBERTON CORRECTIONAL INSTITUTION
NC,MARION CORRECTIONAL INSTITUTION,2,MARION CORRECTIONAL INSTITUTION,MARION CORRECTIONAL INSTITUTION
NC,MOUNTAIN VIEW CORRECTIONAL FACILITY,2,MOUNTAIN VIEW CORRECTIONAL FACILITY,MOUNTAIN VIEW CORRECTIONAL FACILITY
NC,SOUTHERN CORRECTIONAL INSTITUTION,2,SOUTHERN CORRECTIONAL INSTITUTION,SOUTHERN CORRECTIONAL INSTITUTION
NH,CALUMET TRANSITIONAL HOUSING UNIT,2,CALUMET TRANSITIONAL HOUSING UNIT,CALUMET TRANSITIONAL HOUSING UNIT
NH,NORTHERN NEW HAMPSHIRE CORRECTIONAL FACILITY,2,NORTHERN NEW HAMPSHIRE CORRECTIONAL FACILITY,NORTHERN NEW HAMPSHIRE CORRECTIONAL FACILITY
OK,LAWTON CORRECTIONAL FACILITY,2,LAWTON CORRECTIONAL FACILITY,LAWTON CORRECTIONAL FACILITY
OR,OREGON STATE CORRECTIONAL INSTITUTION,2,OREGON STATE CORRECTIONAL INSTITUTION,OREGON STATE CORRECTIONAL INSTITUTION
OR,SNAKE RIVER CORRECTIONAL INSTITUTION,2,SNAKE RIVER CORRECTIONAL INSTITUTION,SNAKE RIVER CORRECTIONAL INSTITUTION
PA,​CAMBRIDGE SPRINGS,2,SCI CAMBRIDGE SPRINGS,NA
SC,EVANS CORRECTIONAL  INSTITUTION,2,EVANS CORRECTIONAL  INSTITUTION,EVANS CORRECTIONAL  INSTITUTION
SC,KIRKLAND RECEPTION & EVALUATION CENTER,2,KIRKLAND RECEPTION & EVALUATION CENTER,KIRKLAND RECEPTION & EVALUATION CENTER
SC,TURBEVILLE CORRECTIONAL FACILITY,2,TURBEVILLE CORRECTIONAL FACILITY,TURBEVILLE CORRECTIONAL FACILITY
TN,DEBRA K. JOHNSON REHABILITATION CENTER (DJRC),2,HARDEMAN COUNTY CORRECTIONAL CENTER-CCA,NA
TN,MORGAN COUNTY CORRECTIONAL COMPLEX,2,MORGAN COUNTY CORRECTIONAL COMPLEX,MORGAN COUNTY CORRECTIONAL COMPLEX
VA,DEERFIELD CORRECTIONAL CENTER,2,DEERFIELD CORRECTIONAL CENTER,DEERFIELD CORRECTIONAL CENTER
VA,HAYNESVILLE CORRECTIONAL CENTER,2,HAYNESVILLE CORRECTIONAL CENTER,HAYNESVILLE CORRECTIONAL CENTER
VA,RED ONION STATE PRISON,2,RED ONION STATE PRISON,RED ONION STATE PRISON
VT,NORTHEAST REGIONAL CORRECTIONAL FACILITY,2,NORTHEAST REGIONAL CORRECTIONAL FACILITY,NORTHEAST REGIONAL CORRECTIONAL FACILITY
VT,NORTHWEST STATE CORRECTIONAL FACILITY,2,NORTHWEST STATE CORRECTIONAL FACILITY,NORTHWEST STATE CORRECTIONAL FACILITY
VT,TALLAHATCHIE COUNTY CORRECTIONAL FACILITY,2,NORTHEAST REGIONAL CORRECTIONAL FACILITY,NA
WA,COYOTE RIDGE CORRECTIONS CENTER,2,COYOTE RIDGE CORRECTIONS CENTER,COYOTE RIDGE CORRECTIONS CENTER
WI,BLACK RIVER CORRECTIONAL CENTER,2,BLACK RIVER CORRECTIONAL CENTER,BLACK RIVER CORRECTIONAL CENTER
WI,CHIPPEWA VALLEY CORRECTIONAL TREATMENT FACILITY,2,CHIPPEWA VALLEY CORRECTIONAL TREATMENT FAC,CHIPPEWA VALLEY CORRECTIONAL TREATMENT FAC
WI,COLUMBIA CORRECTIONAL INSTITUTION,2,COLUMBIA CORRECTIONAL INSTITUTION,COLUMBIA CORRECTIONAL INSTITUTION
WI,DODGE CORRECTIONAL INSTITUTION,2,DODGE CORRECTIONAL INSTITUTION,DODGE CORRECTIONAL INSTITUTION
WI,DRUG ABUSE CORRECTIONAL CENTER,2,DRUG ABUSE CORRECTIONAL CENTER,DRUG ABUSE CORRECTIONAL CENTER
WI,FELMERS O. CHANEY CORRECTIONAL CENTER,2,FELMERS CHANEY CORRECTIONAL CENTER,FELMERS CHANEY CORRECTIONAL CENTER
WI,FLAMBEAU CORRECTIONAL CENTER,2,FLAMBEAU CORRECTIONAL CENTER,FLAMBEAU CORRECTIONAL CENTER
WI,FOX LAKE CORRECTIONAL INSTITUTION,2,FOX LAKE CORRECTIONAL INSTITUTION,FOX LAKE CORRECTIONAL INSTITUTION
WI,GORDON CORRECTIONAL CENTER,2,GORDON CORRECTIONAL CENTER,GORDON CORRECTIONAL CENTER
WI,GREEN BAY CORRECTIONAL INSTITUTION,2,GREEN BAY CORRECTIONAL INSTITUTION,GREEN BAY CORRECTIONAL INSTITUTION
WI,JACKSON CORRECTIONAL INSTITUTION,2,JACKSON CORRECTIONAL INSTITUTION,JACKSON CORRECTIONAL INSTITUTION
WI,JOHN C. BURKE CORRECTIONAL CENTER,2,JOHN C BURKE CORRECTIONAL CENTER,JOHN C BURKE CORRECTIONAL CENTER
WI,KENOSHA CORRECTIONAL CENTER,2,KENOSHA CORRECTIONAL CENTER,KENOSHA CORRECTIONAL CENTER
WI,KETTLE MORAINE CORRECTIONAL INSTITUTION,2,KETTLE MORAINE CORRECTIONAL INSTITUTION,KETTLE MORAINE CORRECTIONAL INSTITUTION
WI,MARSHALL E. SHERRER CORRECTIONAL CENTER,2,MARSHALL E. SHERRER CORRECTIONAL CENTER,MARSHALL E. SHERRER CORRECTIONAL CENTER
WI,MCNAUGHTON CORRECTIONAL CENTER,2,MCNAUGHTON CORRECTIONAL CENTER,MCNAUGHTON CORRECTIONAL CENTER
WI,MILWAUKEE SECURE DETENTION FACILITY,2,MILWAUKEE SECURE DETENTION FACILITY,MILWAUKEE SECURE DETENTION FACILITY
WI,MILWAUKEE WOMEN'S CORRECTIONAL CENTER,2,MILWAUKEE WOMEN'S CORRECTIONAL CENTER,MILWAUKEE WOMEN'S CORRECTIONAL CENTER
WI,NEW LISBON CORRECTIONAL INSTITUTION,2,NEW LISBON CORRECTIONAL INSTITUTION,NEW LISBON CORRECTIONAL INSTITUTION
WI,OAKHILL CORRECTIONAL INSTITUTION,2,OAKHILL CORRECTIONAL INSTITUTION,OAKHILL CORRECTIONAL INSTITUTION
WI,OREGON CORRECTIONAL CENTER,2,OREGON CORRECTIONAL CENTER,OREGON CORRECTIONAL CENTER
WI,OSHKOSH CORRECTIONAL INSTITUTION,2,OSHKOSH CORRECTIONAL INSTITUTION,OSHKOSH CORRECTIONAL INSTITUTION
WI,PRAIRIE DU CHIEN CORRECTIONAL INSTITUTION,2,PRAIRIE DU CHIEN CORRECTIONAL FACILITY,PRAIRIE DU CHIEN CORRECTIONAL FACILITY
WI,RACINE CORRECTIONAL INSTITUTION/STURTEVANT TRANSITIONAL FACILITY,2,STURTEVANT TRANSITIONAL FACILITY,STURTEVANT TRANSITIONAL FACILITY
WI,RACINE YOUTHFUL OFFENDER CORRECTIONAL FACILITY,2,RACINE YOUTHFUL OFFENDER CORRECTIONAL FACILITY,RACINE YOUTHFUL OFFENDER CORRECTIONAL FACILITY
WI,REDGRANITE CORRECTIONAL INSTITUTION,2,REDGRANITE CORRECTIONAL INSTITUTION,REDGRANITE CORRECTIONAL INSTITUTION
WI,ROBERT E. ELLSWORTH CORRECTIONAL CENTER,2,ROBERT E ELLSWORTH CORRECTIONAL CENTER,ROBERT E ELLSWORTH CORRECTIONAL CENTER
WI,SANGER B. POWERS CORRECTIONAL CENTER,2,SANGER BOWERS CORRECTIONAL CENTER,SANGER B. POWERS CORRECTIONAL CENTER
WI,ST. CROIX CORRECTIONAL CENTER,2,ST. CROIX CORRECTIONAL CENTER,ST. CROIX CORRECTIONAL CENTER
WI,STANLEY CORRECTIONAL INSTITUTION,2,STANLEY CORRECTIONAL INSTITUTION,STANLEY CORRECTIONAL INSTITUTION
WI,TAYCHEEDAH CORRECTIONAL INSTITUTION,2,TAYCHEEDAH CORRECTIONAL INSTITUTION,TAYCHEEDAH CORRECTIONAL INSTITUTION
WI,THOMPSON CORRECTIONAL CENTER,2,THOMPSON CORRECTIONAL CENTER,THOMPSON CORRECTIONAL CENTER
WI,WAUPUN CORRECTIONAL INSTITUTION,2,WAUPUN CORRECTIONAL INSTITUTION,WAUPUN CORRECTIONAL INSTITUTION
WI,WINNEBAGO CORRECTIONAL CENTER,2,WINNEBAGO CORRECTIONAL CENTER,WINNEBAGO CORRECTIONAL CENTER
WI,WISCONSIN SECURE PROGRAM FACILITY,2,WISCONSIN SECURE PROGRAM FACILITY,WISCONSIN SECURE PROGRAM FACILITY
NA,PUTNAM CI,2,NA,NA
AK,KETCHIKAN CORRECTIONAL CENTER,1,KETCHIKAN CORRECTIONAL CENTER,KETCHIKAN CORRECTIONAL CENTER
AK,MAT-SU PRETRIAL,1,MAT-SU PRETRIAL,MAT-SU PRETRIAL
AK,SPRING CREEK CORRECTIONAL CENTER,1,SPRING CREEK CORRECTIONAL CENTER,SPRING CREEK CORRECTIONAL CENTER
AL,BIBB CORRECTIONAL FACILITY,1,BIBB CORRECTIONAL FACILITY,BIBB CORRECTIONAL FACILITY
AL,BULLOCK CORRECTIONAL FACILITY,1,BULLOCK CORRECTIONAL FACILITY,BULLOCK CORRECTIONAL FACILITY
AL,DONALDSON CORRECTIONAL FACILITY,1,DONALDSON CORRECTIONAL FACILITY,DONALDSON CORRECTIONAL FACILITY
AL,HOLMAN CORRECTIONAL FACILITY,1,HOLMAN CORRECTIONAL FACILITY,HOLMAN CORRECTIONAL FACILITY
AL,VENTRESS CORRECTIONAL FACILITY,1,VENTRESS CORRECTIONAL FACILITY,VENTRESS CORRECTIONAL FACILITY
AR,CUMMINS UNIT,1,CUMMINS UNIT,CUMMINS UNIT
AR,MCPHERSON UNIT,1,MCPHERSON UNIT,MCPHERSON UNIT
AR,MISSISSIPPI COUNTY WORK RELEASE CENTER,1,MISSISSIPPI COUNTY WORK RELEASE CENTER,MISSISSIPPI COUNTY WORK RELEASE CENTER
AR,NORTH CENTRAL UNIT,1,NORTH CENTRAL UNIT,NORTH CENTRAL UNIT
AR,PINE BLUFF UNIT,1,PINE BLUFF COMPLEX,NA
AR,RANDALL L. WILLIAMS CORRECTIONAL FACILITY,1,RANDALL L. WILLIAMS CORRECTIONAL FACILITY,RANDALL L. WILLIAMS CORRECTIONAL FACILITY
AR,THE BOWIE COUNTY (TEXAS) CORRECTIONAL CENTER,1,TEXARKANA REGIONAL CORRECTIONAL CENTER,NA
AR,TUCKER UNIT,1,TUCKER UNIT,TUCKER UNIT
AZ,APSC-TUCSON,1,ASPC-TUCSON,NA
AZ,ARIZONA STATE PRISON COMPLEX-TUCSON,1,DISMAS CCC - TUCSON,NA
AZ,ASC-FLORENCE,1,ASPC-FLORENCE,NA
AZ,ASCP-LEWIS,1,ASPC - LEWIS,NA
AZ,ASP - FLORENCE WEST,1,ASP-FLORENCE WEST,NA
AZ,ASPC - EYMAN,1,ASPC-EYMAN,NA
AZ,"ASPC-EYMAN, SMU I UNIT",1,"ASPC-EYMAN, ASP-KINGMAN CERBAT UNIT",NA
AZ,ASPC-FLORENCE - CENTRAL UNIT,1,ASPC-FLORENCE PICACHO UNIT,NA
AZ,ASPC-KINGMAN,1,ASPC-EYMAN,NA
AZ,"ASPC-KINGMAN, CERBAT UNIT",1,ASP-KINGMAN CERBAT UNIT,NA
AZ,"ASPC-LEWIS, MOREY UNIT",1,ASPC-WINSLOW APACHE UNIT,NA
AZ,"ASPC-LEWIS, STINER UNIT",1,ASPC-WINSLOW APACHE UNIT,NA
AZ,ASPC-PERRYILLE,1,ASPC - PERRYVILLE,NA
AZ,ASPC-PHEONIX,1,ASPC-PHOENIX,NA
AZ,ASPC-PHOENIX WEST,1,ASP-PHOENIX WEST,NA
AZ,"ASPC-SAFFORD, FT. GRANT UNIT",1,ASPC-SAFFORD FORT GRANT,NA
AZ,"ASPC-TUCSON, CIMARRON UINT",1,ASPC-FLORENCE PICACHO UNIT,NA
AZ,"ASPC-TUCSON, CIMARRON UNIT",1,ASPC-FLORENCE PICACHO UNIT,NA
AZ,"ASPC-TUCSON, MANZANITA UNIT",1,ASPC-WINSLOW APACHE UNIT,NA
AZ,"ASPC-TUCSON, SANTA RITA UNIT",1,ASPC-WINSLOW APACHE UNIT,NA
